gamma,sharpe_train,sharpe_test,mean_train,mean_test
0.001,2.951305703227061,4.979155489766859,66276.94269651506,81030.85335754146
0.0016155980984398745,2.9913198652490456,5.071144405320914,66634.12334753344,80978.19336378861
0.0026101572156825357,3.0322081328168355,5.219524510087832,66941.6832700238,81312.20474168778
0.004216965034285823,3.0691036170439023,5.421193630848489,67322.56737956707,81703.70121159204
0.006812920690579615,3.104529155925331,5.630030235016572,67627.97873935153,81508.24695675369
0.011006941712522098,3.172500480959578,5.910461850519204,67652.19616136035,81466.82953926378
0.01778279410038923,3.247082895168301,6.332163638640796,67913.6695777539,81829.21102436524
0.028729848333536655,3.389971378784631,6.813772543856258,67489.62419520969,82060.77947292734
0.046415888336127795,3.5353191645561814,7.417033228212495,67150.18862129287,81978.15135197567
0.07498942093324558,3.6391565078494352,8.009109032227569,66754.28424552464,81298.96330478904
0.12115276586285889,3.7650799873413776,8.702686528068863,66082.09406346933,81012.1945167993
0.19573417814876617,3.804289672751251,9.403890566709475,65192.36411655604,80033.27986929464
0.31622776601683794,3.835759085681121,10.551452114643912,63759.954000225,78697.32210325442
0.510896977450693,3.7939829104419536,12.289571673346027,61963.22108710501,76538.04242997848
0.825404185268019,3.8935038583536308,12.9294401709839,59535.39716542391,73568.46304164786
1.333521432163324,3.880597899045013,15.10337660275905,56129.545987317506,68597.82200379786
2.1544346900318843,3.8359671306583643,14.538898311567154,50310.04523900199,61672.6521253312
3.4807005884284132,3.682911966800707,12.019151152953937,42240.29793403732,51549.06526402303
5.623413251903491,3.680587731931734,9.938874380632658,31678.988016774176,38980.03877419886
9.085175756516872,3.013233537312054,7.528420694229042,18889.393085156196,22714.13815253595
14.677992676220706,1.011307992606474,1.2866603363665006,3803.6012086955147,4756.181248354859
23.71373705661655,-2.5916959221468807,-4.536938061238752,-12866.186694871636,-15750.783268412677
38.31186849557293,-3.55523044771384,-10.42633415445045,-31708.866213788755,-38640.45882953567
61.8965818891261,-3.6211909054125018,-16.187361158477078,-52959.224900427755,-64745.04031783766
100.0,-3.72346570332388,-21.562519460174283,-77191.0857154866,-95113.35903032057
